sample	locus	read_count	molecule_count
06R_S1_R1_001	ABCC3	22	22
06R_S1_R1_001	ACADSB	23	23
06R_S1_R1_001	ANXA2	10257	9310
06R_S1_R1_001	ANXA4	1147	1119
06R_S1_R1_001	AOX1	6	6
06R_S1_R1_001	APOD	135	135
06R_S1_R1_001	AQP3	299	297
06R_S1_R1_001	ARG2	96	96
06R_S1_R1_001	ARID5B	58	58
06R_S1_R1_001	BCL6	60	60
06R_S1_R1_001	C10orf10	671	663
06R_S1_R1_001	C1R	594	579
06R_S1_R1_001	C4BPA	148	148
06R_S1_R1_001	CD55	481	475
06R_S1_R1_001	CEBPD	1113	1096
06R_S1_R1_001	CFD	53	53
06R_S1_R1_001	CLDN4	792	785
06R_S1_R1_001	COMP	3	3
06R_S1_R1_001	CP	497	495
06R_S1_R1_001	CRABP2	263	260
06R_S1_R1_001	CYC1	174	174
06R_S1_R1_001	DDX52	146	146
06R_S1_R1_001	DEFB1	1035	1020
06R_S1_R1_001	DKK1	20	20
06R_S1_R1_001	DPP4	26	26
06R_S1_R1_001	DYNLT3	1009	998
06R_S1_R1_001	EDN3	30	30
06R_S1_R1_001	EDNRB	128	128
06R_S1_R1_001	EFNA1	317	315
06R_S1_R1_001	ENPEP	4	4
06R_S1_R1_001	ERCC_00004	3393	3233
06R_S1_R1_001	ERCC_00108	347	346
06R_S1_R1_001	ERCC_00116	91	90
06R_S1_R1_001	ERCC_00136	560	554
06R_S1_R1_001	G0S2	19	19
06R_S1_R1_001	GADD45A	90	89
06R_S1_R1_001	GBP2	826	810
06R_S1_R1_001	GNLY	2613	2559
06R_S1_R1_001	GPX3	170	169
06R_S1_R1_001	HABP2	19	19
06R_S1_R1_001	HMBS	30	30
06R_S1_R1_001	ID4	1060	1037
06R_S1_R1_001	IDO1	809	784
06R_S1_R1_001	IGFBP1	8	8
06R_S1_R1_001	IL15	187	181
06R_S1_R1_001	LAMB3	49	48
06R_S1_R1_001	MAOA	244	242
06R_S1_R1_001	MAP3K5	89	89
06R_S1_R1_001	MMP7	91	91
06R_S1_R1_001	MT1G	6521	6158
06R_S1_R1_001	MT1H	474	470
06R_S1_R1_001	NDRG1	51	51
06R_S1_R1_001	NNMT	105	104
06R_S1_R1_001	OLFM1	25	25
06R_S1_R1_001	PAEP	543	541
06R_S1_R1_001	PRUNE2	62	61
06R_S1_R1_001	S100P	672	666
06R_S1_R1_001	SDHA	290	287
06R_S1_R1_001	SERPING1	1158	1135
06R_S1_R1_001	SFRP4	492	486
06R_S1_R1_001	SLC1A1	13	13
06R_S1_R1_001	SPP1	604	597
06R_S1_R1_001	TBP	92	92
06R_S1_R1_001	TCN1	142	142
06R_S1_R1_001	TSPAN8	85	83
06R_S1_R1_001	unmatched	2631	1554
07R_S2_R1_001	ABCC3	14	14
07R_S2_R1_001	ACADSB	30	30
07R_S2_R1_001	ANXA2	11219	10042
07R_S2_R1_001	ANXA4	1555	1516
07R_S2_R1_001	AOX1	5	5
07R_S2_R1_001	APOD	48	48
07R_S2_R1_001	AQP3	224	224
07R_S2_R1_001	ARG2	113	112
07R_S2_R1_001	ARID5B	36	36
07R_S2_R1_001	BCL6	41	41
07R_S2_R1_001	C10orf10	514	503
07R_S2_R1_001	C1R	431	425
07R_S2_R1_001	C4BPA	119	118
07R_S2_R1_001	CD55	640	634
07R_S2_R1_001	CEBPD	943	923
07R_S2_R1_001	CFD	104	104
07R_S2_R1_001	CLDN4	1114	1090
07R_S2_R1_001	COMP	3	3
07R_S2_R1_001	CP	778	766
07R_S2_R1_001	CRABP2	141	140
07R_S2_R1_001	CYC1	165	164
07R_S2_R1_001	DDX52	153	152
07R_S2_R1_001	DEFB1	1719	1689
07R_S2_R1_001	DKK1	21	21
07R_S2_R1_001	DPP4	11	11
07R_S2_R1_001	DYNLT3	1328	1280
07R_S2_R1_001	EDN3	16	16
07R_S2_R1_001	EDNRB	31	31
07R_S2_R1_001	EFNA1	325	320
07R_S2_R1_001	ENPEP	4	4
07R_S2_R1_001	ERCC_00004	3284	3133
07R_S2_R1_001	ERCC_00108	341	339
07R_S2_R1_001	ERCC_00116	72	72
07R_S2_R1_001	ERCC_00136	551	546
07R_S2_R1_001	G0S2	39	39
07R_S2_R1_001	GADD45A	123	120
07R_S2_R1_001	GBP2	605	600
07R_S2_R1_001	GNLY	619	609
07R_S2_R1_001	GPX3	90	90
07R_S2_R1_001	HABP2	15	15
07R_S2_R1_001	HMBS	42	42
07R_S2_R1_001	ID4	1177	1152
07R_S2_R1_001	IDO1	464	457
07R_S2_R1_001	IGFBP1	2	2
07R_S2_R1_001	IL15	121	118
07R_S2_R1_001	LAMB3	59	59
07R_S2_R1_001	MAOA	586	583
07R_S2_R1_001	MAP3K5	155	155
07R_S2_R1_001	MMP7	33	33
07R_S2_R1_001	MT1G	14280	12581
07R_S2_R1_001	MT1H	1182	1159
07R_S2_R1_001	NDRG1	65	65
07R_S2_R1_001	NNMT	86	85
07R_S2_R1_001	OLFM1	13	13
07R_S2_R1_001	PAEP	150	150
07R_S2_R1_001	PRUNE2	174	174
07R_S2_R1_001	S100P	1108	1089
07R_S2_R1_001	SDHA	350	346
07R_S2_R1_001	SERPING1	695	686
07R_S2_R1_001	SFRP4	108	108
07R_S2_R1_001	SLC1A1	13	13
07R_S2_R1_001	SPP1	2363	2300
07R_S2_R1_001	TBP	80	80
07R_S2_R1_001	TCN1	128	128
07R_S2_R1_001	TSPAN8	31	31
07R_S2_R1_001	unmatched	2638	1620
08R_S3_R1_001	ABCC3	7	7
08R_S3_R1_001	ACADSB	14	13
08R_S3_R1_001	ANXA2	7418	6853
08R_S3_R1_001	ANXA4	1256	1229
08R_S3_R1_001	AOX1	2	2
08R_S3_R1_001	APOD	19	19
08R_S3_R1_001	AQP3	45	45
08R_S3_R1_001	ARG2	33	33
08R_S3_R1_001	ARID5B	24	24
08R_S3_R1_001	BCL6	22	22
08R_S3_R1_001	C10orf10	143	142
08R_S3_R1_001	C1R	260	256
08R_S3_R1_001	C4BPA	65	65
08R_S3_R1_001	CD55	321	317
08R_S3_R1_001	CEBPD	456	454
08R_S3_R1_001	CFD	136	135
08R_S3_R1_001	CLDN4	484	480
08R_S3_R1_001	COMP	2	2
08R_S3_R1_001	CP	409	404
08R_S3_R1_001	CRABP2	105	103
08R_S3_R1_001	CYC1	123	122
08R_S3_R1_001	DDX52	64	63
08R_S3_R1_001	DEFB1	1555	1514
08R_S3_R1_001	DKK1	11	11
08R_S3_R1_001	DPP4	10	10
08R_S3_R1_001	DYNLT3	641	633
08R_S3_R1_001	EDN3	18	18
