sample	locus	read_count	molecule_count
01R-replicate_S8_R1_001	ABCC3	156	155
01R-replicate_S8_R1_001	ACADSB	588	574
01R-replicate_S8_R1_001	ANXA2	70517	39528
01R-replicate_S8_R1_001	ANXA4	8922	7799
01R-replicate_S8_R1_001	AOX1	103	103
01R-replicate_S8_R1_001	APOD	151	151
01R-replicate_S8_R1_001	AQP3	995	961
01R-replicate_S8_R1_001	ARG2	500	495
01R-replicate_S8_R1_001	ARID5B	1817	1713
01R-replicate_S8_R1_001	BCL6	305	297
01R-replicate_S8_R1_001	C10orf10	3884	3677
01R-replicate_S8_R1_001	C1R	5163	4664
01R-replicate_S8_R1_001	C4BPA	4968	4408
01R-replicate_S8_R1_001	CD55	8452	7770
01R-replicate_S8_R1_001	CEBPD	9282	8281
01R-replicate_S8_R1_001	CFD	396	384
01R-replicate_S8_R1_001	CLDN4	1200	1169
01R-replicate_S8_R1_001	COMP	26	26
01R-replicate_S8_R1_001	CP	8279	7519
01R-replicate_S8_R1_001	CRABP2	780	761
01R-replicate_S8_R1_001	CYC1	606	591
01R-replicate_S8_R1_001	DDX52	1556	1491
01R-replicate_S8_R1_001	DEFB1	23850	18386
01R-replicate_S8_R1_001	DKK1	330	320
01R-replicate_S8_R1_001	DPP4	473	456
01R-replicate_S8_R1_001	DYNLT3	8945	7731
01R-replicate_S8_R1_001	EDN3	59	57
01R-replicate_S8_R1_001	EDNRB	999	965
01R-replicate_S8_R1_001	EFNA1	3096	2867
01R-replicate_S8_R1_001	ENPEP	35	35
01R-replicate_S8_R1_001	ERCC_00004	18474	14622
01R-replicate_S8_R1_001	ERCC_00108	2069	1994
01R-replicate_S8_R1_001	ERCC_00116	566	557
01R-replicate_S8_R1_001	ERCC_00136	3679	3483
01R-replicate_S8_R1_001	G0S2	205	197
01R-replicate_S8_R1_001	GADD45A	1223	1182
01R-replicate_S8_R1_001	GBP2	5890	5359
01R-replicate_S8_R1_001	GNLY	10780	9685
01R-replicate_S8_R1_001	GPX3	3309	3127
01R-replicate_S8_R1_001	HABP2	386	378
01R-replicate_S8_R1_001	HMBS	151	147
01R-replicate_S8_R1_001	ID4	12443	10513
01R-replicate_S8_R1_001	IDO1	12729	10003
01R-replicate_S8_R1_001	IGFBP1	17	17
01R-replicate_S8_R1_001	IL15	977	909
01R-replicate_S8_R1_001	LAMB3	924	896
01R-replicate_S8_R1_001	MAOA	5046	4723
01R-replicate_S8_R1_001	MAP3K5	1127	1087
01R-replicate_S8_R1_001	MMP7	620	610
01R-replicate_S8_R1_001	MT1G	39573	28655
01R-replicate_S8_R1_001	MT1H	4550	4288
01R-replicate_S8_R1_001	NDRG1	630	615
01R-replicate_S8_R1_001	NNMT	4662	4366
01R-replicate_S8_R1_001	OLFM1	45	44
01R-replicate_S8_R1_001	PAEP	38884	27904
01R-replicate_S8_R1_001	PRUNE2	636	614
01R-replicate_S8_R1_001	S100P	11517	10029
01R-replicate_S8_R1_001	SDHA	1470	1430
01R-replicate_S8_R1_001	SERPING1	11537	10064
01R-replicate_S8_R1_001	SFRP4	441	433
01R-replicate_S8_R1_001	SLC1A1	191	191
01R-replicate_S8_R1_001	SPP1	9956	8950
01R-replicate_S8_R1_001	TBP	382	376
01R-replicate_S8_R1_001	TCN1	1469	1417
01R-replicate_S8_R1_001	TSPAN8	694	679
01R-replicate_S8_R1_001	unmatched	18644	8392
01R_S1_R1_001	ABCC3	562	553
01R_S1_R1_001	ACADSB	653	633
01R_S1_R1_001	ANXA2	77178	41754
01R_S1_R1_001	ANXA4	10988	9347
01R_S1_R1_001	AOX1	126	125
01R_S1_R1_001	APOD	177	175
01R_S1_R1_001	AQP3	1171	1142
01R_S1_R1_001	ARG2	588	575
01R_S1_R1_001	ARID5B	2155	2011
01R_S1_R1_001	BCL6	762	737
01R_S1_R1_001	C10orf10	4875	4578
